user_id,watch_time_hours,total_sessions,avg_session_mins,weekday_watch_ratio,recency_days,short_session_ratio,top_genres
USR-2077,32.6,59,60.3,0.7,2.0,0.41,"Animation,Action,Romance"
USR-2078,2.9,3,7.7,0.46,17.0,0.39,Documentary
USR-2079,11.2,30,31.2,0.31,7.0,0.62,Animation
USR-2080,49.8,42,31.8,0.43,2.0,0.21,"Action,Animation,Drama,Sci-Fi,Thriller"
USR-2081,22.6,31,23.6,0.43,8.0,0.67,"Romance,Comedy"
USR-2082,25.5,28,30.8,0.55,9.0,0.62,"Comedy,Romance"
USR-2083,45.8,59,41.8,0.67,3.0,0.46,"Drama,Sci-Fi,Documentary"
USR-2084,0.7,4,22.3,0.8,44.0,0.37,Comedy
USR-2085,48.2,45,61.4,0.53,3.0,0.47,"Comedy,Action,Drama,Documentary,Romance"
USR-2086,14.2,26,36.0,0.32,3.0,0.75,"Romance,Animation"
USR-2087,12.6,16,21.4,0.42,2.0,0.68,"Comedy,Animation"
USR-2088,67.8,37,106.6,0.57,4.0,0.09,"Sci-Fi,Thriller,Action"
USR-2089,17.5,20,16.9,0.36,6.0,0.74,"Romance,Comedy"
USR-2090,34.3,40,61.0,0.65,4.0,0.45,"Action,Documentary,Thriller,Animation,Comedy"
USR-2091,0.5,21,25.4,0.55,6.0,0.79,"Comedy,Romance"
USR-2092,10.5,38,37.3,0.58,9.0,0.6,"Animation,Comedy"
USR-2093,0.5,5,17.3,0.55,18.0,0.47,Comedy
USR-2094,1.3,1,5.0,0.26,28.0,0.51,"Comedy,Drama"
USR-2095,1.4,6,26.5,0.46,26.0,0.43,Drama
USR-2096,20.0,37,16.5,0.37,1.0,0.85,"Comedy,Romance"
USR-2097,26.4,49,40.5,0.64,5.0,0.41,"Animation,Horror,Documentary,Thriller,Action"
USR-2098,52.3,53,42.4,0.62,6.0,0.35,"Sci-Fi,Thriller,Drama,Romance,Comedy"
USR-2099,14.5,38,42.7,0.47,6.0,0.82,"Comedy,Animation"
USR-2100,4.5,6,21.9,0.24,39.0,0.31,Drama
USR-2101,4.3,4,14.1,0.4,27.0,0.53,Drama
USR-2102,50.4,30,59.2,0.5,5.0,0.46,"Animation,Action,Comedy,Horror"
USR-2103,40.8,56,70.0,0.61,1.0,0.29,"Documentary,Romance,Horror,Action"
USR-2104,5.9,2,18.9,0.41,43.0,0.44,Comedy
USR-2105,3.2,7,32.1,0.74,11.0,0.52,Comedy
USR-2106,48.7,63,70.8,0.64,4.0,0.14,"Sci-Fi,Action"
USR-2107,18.3,18,17.2,0.47,2.0,0.88,Romance
USR-2108,18.5,28,15.7,0.31,7.0,0.76,Animation
USR-2109,7.2,1,24.1,0.76,27.0,0.37,"Comedy,Drama"
USR-2110,59.3,31,86.2,0.7,4.0,0.16,"Action,Sci-Fi,Thriller"
USR-2111,30.1,34,58.6,0.6,4.0,0.49,"Comedy,Horror,Sci-Fi"
USR-2112,4.9,36,24.2,0.32,9.0,0.74,Romance
USR-2113,42.8,34,64.0,0.58,4.0,0.33,"Drama,Action,Thriller,Documentary"
USR-2114,9.3,1,6.8,0.59,19.0,0.4,Comedy
USR-2115,20.2,31,17.6,0.35,8.0,0.83,Comedy
USR-2116,41.4,38,56.7,0.69,6.0,0.48,"Documentary,Drama,Animation,Thriller"
USR-2117,67.4,36,88.9,0.51,3.0,0.16,"Action,Sci-Fi"
USR-2118,16.1,21,18.2,0.4,3.0,0.8,"Romance,Comedy"
USR-2119,11.5,39,28.2,0.59,9.0,0.66,Comedy
USR-2120,2.3,4,17.2,0.73,33.0,0.46,"Drama,Documentary"
USR-2121,15.2,30,27.9,0.56,7.0,0.78,Animation
USR-2122,12.1,31,28.1,0.36,4.0,0.61,"Romance,Animation"
USR-2123,36.1,51,49.6,0.62,2.0,0.37,"Drama,Thriller,Documentary"
USR-2124,14.4,35,25.4,0.59,1.0,0.84,Animation
USR-2125,65.0,29,86.1,0.63,4.0,0.18,"Sci-Fi,Action,Thriller"
USR-2126,19.7,24,30.3,0.45,2.0,0.75,Animation
USR-2127,21.8,23,36.6,0.3,5.0,0.86,Animation
USR-2128,13.6,35,26.6,0.36,6.0,0.7,"Animation,Romance"
USR-2129,48.6,40,20.1,0.68,2.0,0.22,"Horror,Action,Documentary,Animation,Sci-Fi"
USR-2130,72.8,35,101.8,0.69,3.0,0.16,"Action,Sci-Fi,Thriller"
USR-2131,51.5,33,80.8,0.71,2.0,0.13,"Thriller,Action"
USR-2132,0.5,5,21.4,0.24,25.0,0.69,Drama
USR-2133,22.8,31,21.6,0.39,6.0,0.86,Comedy
USR-2134,53.9,40,49.7,0.64,5.0,0.37,"Horror,Sci-Fi,Action"
USR-2135,52.0,42,85.3,0.51,1.0,0.15,"Action,Sci-Fi,Thriller"
USR-2136,50.3,32,60.6,0.53,4.0,0.32,"Action,Horror,Romance,Documentary"
USR-2137,87.0,28,95.6,0.57,1.0,0.06,"Sci-Fi,Thriller"
USR-2138,39.2,41,64.7,0.45,1.0,0.35,"Sci-Fi,Thriller,Romance,Comedy"
USR-2139,22.9,41,71.0,0.59,5.0,0.45,"Comedy,Animation,Action,Horror,Thriller"
USR-2140,19.0,24,43.1,0.45,2.0,0.79,Comedy
USR-2141,39.9,49,46.6,0.46,3.0,0.48,"Comedy,Action,Documentary"
USR-2142,59.7,31,114.3,0.52,2.0,0.08,"Sci-Fi,Thriller,Action"
USR-2143,66.7,35,84.2,0.6,3.0,0.17,"Action,Thriller"
USR-2144,54.2,52,99.1,0.51,3.0,0.18,"Sci-Fi,Thriller"
USR-2145,17.9,27,33.0,0.46,4.0,0.87,Comedy
USR-2146,68.7,52,62.5,0.56,3.0,0.11,"Thriller,Action"
USR-2147,35.7,43,69.8,0.67,4.0,0.34,"Drama,Comedy,Documentary,Horror"
USR-2148,21.9,22,35.2,0.55,4.0,0.78,Animation
USR-2149,45.1,48,30.7,0.68,1.0,0.38,"Thriller,Sci-Fi,Horror,Action,Comedy"
USR-2150,61.0,63,104.1,0.76,3.0,0.13,"Sci-Fi,Action"
USR-2151,3.9,5,29.1,0.22,13.0,0.36,Comedy
USR-2152,23.4,48,49.4,0.52,4.0,0.23,"Sci-Fi,Action,Comedy"
USR-2153,2.6,1,16.4,0.42,10.0,0.61,"Comedy,Documentary"
USR-2154,53.2,45,51.4,0.7,2.0,0.33,"Romance,Horror,Thriller"
USR-2155,7.9,35,30.2,0.4,6.0,0.67,Romance
USR-2156,3.8,7,25.2,0.52,28.0,0.41,"Documentary,Comedy"
USR-2157,62.0,33,61.3,0.61,2.0,0.11,"Action,Thriller,Sci-Fi"
USR-2158,76.2,31,106.2,0.74,1.0,0.12,"Thriller,Action"
USR-2159,20.3,33,29.3,0.6,4.0,0.61,Animation
USR-2160,42.0,32,47.3,0.41,2.0,0.4,"Documentary,Comedy,Romance,Horror,Animation"
USR-2161,8.1,5,21.8,0.27,30.0,0.38,Comedy
USR-2162,69.5,33,101.3,0.62,2.0,0.13,"Action,Sci-Fi"
USR-2163,22.1,20,15.7,0.41,5.0,0.69,Comedy
USR-2164,12.8,31,27.2,0.36,5.0,0.79,Romance
USR-2165,15.4,26,22.8,0.43,3.0,0.85,Animation
USR-2166,41.6,43,41.2,0.65,2.0,0.3,"Romance,Animation,Documentary,Thriller"
USR-2167,27.2,25,35.8,0.59,9.0,0.61,Animation
USR-2168,16.4,53,63.9,0.7,6.0,0.48,"Sci-Fi,Documentary,Action,Drama,Thriller"
USR-2169,76.0,35,74.7,0.74,4.0,0.19,"Thriller,Sci-Fi,Action"
USR-2170,44.5,35,52.9,0.63,1.0,0.24,"Documentary,Horror,Action,Drama"
USR-2171,2.9,5,5.0,0.46,40.0,0.41,Drama
USR-2172,38.0,59,59.5,0.49,3.0,0.2,"Comedy,Thriller,Romance,Animation,Drama"
USR-2173,21.3,32,25.7,0.5,6.0,0.67,Romance
USR-2174,8.2,20,30.6,0.44,5.0,0.7,"Comedy,Romance"
USR-2175,46.6,53,53.6,0.4,6.0,0.37,"Comedy,Documentary,Action"
USR-2176,60.1,52,44.5,0.46,5.0,0.26,"Romance,Action,Animation,Drama"
USR-2177,2.6,4,19.2,0.69,29.0,0.66,Drama
USR-2178,2.2,6,5.0,0.34,30.0,0.49,Drama
USR-2179,64.6,31,79.5,0.7,1.0,0.1,"Action,Sci-Fi,Thriller"
USR-2180,59.5,56,88.5,0.72,1.0,0.12,"Action,Thriller,Sci-Fi"
USR-2181,6.2,7,32.3,0.41,26.0,0.61,Comedy
USR-2182,56.4,27,47.9,0.73,2.0,0.05,"Sci-Fi,Thriller"
USR-2183,37.3,57,57.1,0.57,2.0,0.25,"Comedy,Action,Sci-Fi,Documentary,Drama"
USR-2184,82.8,61,80.7,0.62,1.0,0.19,"Thriller,Action"
USR-2185,41.6,59,52.8,0.41,2.0,0.33,"Thriller,Horror,Sci-Fi,Comedy,Action"
USR-2186,70.9,34,56.7,0.74,2.0,0.07,"Sci-Fi,Thriller,Action"
USR-2187,21.5,41,47.8,0.52,3.0,0.43,"Animation,Documentary,Horror,Thriller"
USR-2188,44.1,31,49.5,0.4,4.0,0.29,"Horror,Animation,Action"
USR-2189,3.8,1,24.3,0.45,24.0,0.54,Drama
USR-2190,2.8,2,28.1,0.45,33.0,0.63,Documentary
USR-2191,13.8,26,30.3,0.46,5.0,0.68,"Comedy,Animation"
USR-2192,42.0,58,41.0,0.6,4.0,0.31,"Romance,Drama,Horror,Animation"
USR-2193,19.6,34,24.9,0.57,6.0,0.76,"Animation,Comedy"
USR-2194,61.5,36,55.7,0.52,3.0,0.32,"Animation,Drama,Comedy,Romance"
USR-2195,14.0,27,12.6,0.56,4.0,0.77,"Romance,Animation"
USR-2196,14.4,37,25.3,0.38,6.0,0.86,"Comedy,Animation"
USR-2197,8.4,4,14.2,0.44,26.0,0.59,"Comedy,Documentary"
USR-2198,41.5,35,74.1,0.66,4.0,0.11,"Action,Thriller,Sci-Fi"
USR-2199,41.0,58,51.9,0.49,2.0,0.44,"Animation,Documentary,Comedy,Action,Drama"
USR-2200,16.0,29,8.7,0.46,6.0,0.65,Animation
USR-2201,25.2,43,30.1,0.59,4.0,0.44,"Drama,Documentary,Horror"
USR-2202,62.2,41,56.5,0.43,6.0,0.47,"Action,Sci-Fi,Horror,Documentary"
USR-2203,32.8,36,26.0,0.64,4.0,0.34,"Romance,Action,Documentary,Comedy"
USR-2204,49.5,49,55.9,0.6,1.0,0.37,"Comedy,Animation,Drama,Romance"
USR-2205,7.3,5,17.1,0.41,10.0,0.5,Documentary
USR-2206,8.4,3,21.6,0.37,12.0,0.66,"Documentary,Comedy"
USR-2207,6.5,4,25.8,0.5,35.0,0.66,Documentary
USR-2208,10.4,18,15.5,0.46,8.0,0.74,Comedy
USR-2209,18.5,25,30.6,0.45,1.0,0.81,"Animation,Comedy"
USR-2210,12.1,23,34.6,0.41,6.0,0.64,"Animation,Romance"
USR-2211,2.2,1,13.5,0.42,31.0,0.61,"Drama,Comedy"
USR-2212,8.6,15,33.3,0.38,4.0,0.84,"Comedy,Animation"
USR-2213,63.7,60,117.2,0.64,4.0,0.19,"Action,Thriller,Sci-Fi"
USR-2214,1.5,4,5.0,0.62,37.0,0.49,Comedy
USR-2215,6.5,6,20.1,0.36,19.0,0.46,"Comedy,Drama"
USR-2216,15.1,30,5.8,0.35,4.0,0.73,Animation
USR-2217,0.5,4,10.8,0.52,35.0,0.42,"Documentary,Comedy"
USR-2218,43.2,41,49.3,0.67,4.0,0.08,"Action,Sci-Fi,Thriller"
USR-2219,52.3,49,104.4,0.54,4.0,0.16,"Action,Sci-Fi"
USR-2220,33.5,53,40.0,0.68,1.0,0.21,"Sci-Fi,Animation,Action"
USR-2221,15.2,37,27.5,0.34,2.0,0.71,"Comedy,Romance"
USR-2222,21.4,31,27.4,0.46,2.0,0.72,Animation
USR-2223,40.7,34,36.6,0.49,2.0,0.43,"Romance,Documentary,Action,Drama,Sci-Fi"
USR-2224,0.5,3,24.3,0.63,29.0,0.46,Comedy
USR-2225,20.2,39,36.7,0.51,3.0,0.78,"Comedy,Animation"
USR-2226,4.2,5,9.9,0.46,10.0,0.53,Comedy
USR-2227,8.9,6,20.9,0.69,17.0,0.47,"Documentary,Drama"
USR-2228,57.2,39,50.8,0.47,3.0,0.5,"Documentary,Action,Romance,Drama"
USR-2229,51.9,54,61.2,0.43,4.0,0.46,"Animation,Romance,Drama,Comedy"
USR-2230,58.8,40,46.3,0.54,2.0,0.5,"Drama,Horror,Comedy"
USR-2231,18.0,17,18.7,0.33,7.0,0.88,Comedy
USR-2232,82.7,60,71.5,0.53,4.0,0.15,"Thriller,Action,Sci-Fi"
USR-2233,1.6,7,7.3,0.35,31.0,0.32,"Drama,Comedy"
USR-2234,18.6,19,28.1,0.53,2.0,0.68,"Comedy,Romance"
USR-2235,20.6,22,5.0,0.49,3.0,0.89,Comedy
USR-2236,17.3,27,37.4,0.42,6.0,0.68,Animation
USR-2237,59.1,28,91.2,0.74,1.0,0.14,"Action,Sci-Fi,Thriller"
USR-2238,0.5,26,9.2,0.55,1.0,0.87,"Romance,Animation"
USR-2239,0.5,5,19.5,0.48,18.0,0.34,Comedy
USR-2240,19.8,32,63.4,0.44,1.0,0.3,"Sci-Fi,Action,Comedy"
USR-2241,90.3,43,71.2,0.73,2.0,0.08,"Action,Sci-Fi,Thriller"
USR-2242,0.8,6,24.5,0.75,36.0,0.32,Drama
USR-2243,26.5,59,63.9,0.69,6.0,0.42,"Sci-Fi,Animation,Thriller,Horror,Drama"
USR-2244,59.5,29,62.8,0.74,2.0,0.16,"Action,Sci-Fi,Thriller"
USR-2245,59.6,44,74.7,0.75,4.0,0.06,"Sci-Fi,Thriller,Action"
USR-2246,6.2,4,25.2,0.4,19.0,0.68,"Drama,Documentary"
USR-2247,63.9,57,83.6,0.56,4.0,0.17,"Action,Thriller,Sci-Fi"
USR-2248,77.9,26,68.4,0.76,1.0,0.14,"Sci-Fi,Thriller"
USR-2249,18.4,37,33.5,0.3,4.0,0.77,"Animation,Romance"
USR-2250,30.4,36,43.4,0.41,5.0,0.41,"Drama,Action,Thriller,Animation,Horror"
USR-2251,16.9,15,30.6,0.53,3.0,0.63,Comedy
USR-2252,5.0,3,19.6,0.76,24.0,0.39,"Documentary,Comedy"
USR-2253,57.2,50,27.7,0.69,3.0,0.35,"Thriller,Action,Sci-Fi,Horror"
USR-2254,16.6,20,37.7,0.46,3.0,0.83,Romance
USR-2255,52.0,40,45.0,0.41,6.0,0.23,"Animation,Romance,Thriller"
USR-2256,40.8,40,70.0,0.52,4.0,0.24,"Thriller,Action,Documentary,Animation"
USR-2257,65.3,27,83.9,0.79,2.0,0.15,"Sci-Fi,Action,Thriller"
USR-2258,20.9,38,23.0,0.5,8.0,0.61,"Comedy,Romance"
USR-2259,16.0,53,58.4,0.42,5.0,0.22,"Thriller,Drama,Documentary"
USR-2260,54.0,50,39.8,0.46,1.0,0.3,"Drama,Action,Romance"
USR-2261,92.0,58,71.8,0.73,1.0,0.12,"Sci-Fi,Thriller,Action"
USR-2262,50.6,31,103.4,0.77,2.0,0.06,"Action,Thriller,Sci-Fi"
USR-2263,31.4,35,64.8,0.65,1.0,0.49,"Animation,Comedy,Action,Documentary"
USR-2264,6.2,24,30.9,0.37,1.0,0.63,Comedy
USR-2265,72.0,33,109.5,0.68,2.0,0.12,"Thriller,Sci-Fi,Action"
USR-2266,13.8,31,25.5,0.53,9.0,0.68,Animation
USR-2267,79.0,33,118.6,0.6,2.0,0.06,"Action,Sci-Fi,Thriller"
USR-2268,47.0,43,48.5,0.47,5.0,0.38,"Documentary,Animation,Drama,Horror"
USR-2269,21.6,27,28.0,0.43,7.0,0.75,"Comedy,Animation"
USR-2270,10.1,5,24.4,0.24,28.0,0.67,Documentary
USR-2271,26.9,20,13.8,0.58,1.0,0.89,"Comedy,Romance"
USR-2272,2.7,2,11.8,0.78,42.0,0.37,Comedy
USR-2273,4.6,1,23.2,0.57,39.0,0.55,Drama
USR-2274,34.6,44,15.2,0.6,6.0,0.3,"Thriller,Documentary,Sci-Fi,Animation"
USR-2275,15.6,23,18.4,0.48,9.0,0.65,Romance
USR-2276,13.2,22,30.7,0.31,7.0,0.62,"Animation,Romance"
USR-2277,62.6,64,80.6,0.73,3.0,0.17,"Thriller,Sci-Fi"
USR-2278,48.7,28,108.7,0.66,4.0,0.2,"Thriller,Sci-Fi"
USR-2279,42.2,41,46.8,0.42,2.0,0.31,"Thriller,Drama,Horror,Sci-Fi"
USR-2280,4.2,1,21.1,0.6,32.0,0.56,"Documentary,Drama"
USR-2281,40.0,28,71.8,0.68,2.0,0.09,"Sci-Fi,Action,Thriller"
USR-2282,8.3,2,6.9,0.33,35.0,0.58,Comedy
USR-2283,73.4,54,82.0,0.6,3.0,0.12,"Sci-Fi,Action,Thriller"
USR-2284,19.6,24,36.9,0.56,5.0,0.74,Animation
USR-2285,71.8,26,83.7,0.5,3.0,0.08,"Sci-Fi,Action,Thriller"
USR-2286,66.5,42,85.5,0.53,1.0,0.1,"Thriller,Sci-Fi,Action"
USR-2287,9.1,27,30.0,0.5,5.0,0.85,Animation
USR-2288,12.6,19,27.9,0.32,9.0,0.87,Animation
USR-2289,17.6,34,9.0,0.42,6.0,0.83,Comedy
USR-2290,10.1,23,15.7,0.48,2.0,0.85,Animation
USR-2291,41.1,45,57.2,0.67,2.0,0.22,"Thriller,Documentary,Drama,Animation,Horror"
USR-2292,36.1,30,49.6,0.54,4.0,0.4,"Sci-Fi,Animation,Romance"
USR-2293,24.3,19,29.5,0.46,2.0,0.76,Animation
USR-2294,13.4,26,27.9,0.34,3.0,0.6,"Animation,Romance"
USR-2295,62.0,34,55.1,0.45,5.0,0.28,"Documentary,Romance,Animation,Drama"
USR-2296,41.9,44,61.7,0.5,4.0,0.3,"Animation,Action,Drama,Horror"
USR-2297,66.7,44,85.0,0.76,3.0,0.12,"Sci-Fi,Thriller,Action"
USR-2298,12.5,29,20.7,0.52,3.0,0.89,Animation
USR-2299,2.2,6,29.8,0.56,10.0,0.35,"Documentary,Drama"
USR-2300,71.1,65,78.3,0.7,4.0,0.11,"Action,Thriller"
USR-2301,12.6,18,29.0,0.44,3.0,0.66,Romance
USR-2302,0.5,4,28.2,0.62,43.0,0.35,Comedy
USR-2303,58.7,41,53.0,0.62,6.0,0.2,"Sci-Fi,Thriller,Horror"
USR-2304,39.5,61,58.9,0.55,1.0,0.1,"Sci-Fi,Action"
USR-2305,14.8,18,27.0,0.57,3.0,0.87,"Animation,Comedy"
USR-2306,25.6,33,55.4,0.69,5.0,0.22,"Comedy,Horror,Action,Drama"
USR-2307,58.2,35,66.9,0.48,5.0,0.44,"Comedy,Drama,Animation"
USR-2308,81.6,35,121.8,0.59,3.0,0.17,"Thriller,Action"
USR-2309,47.8,59,63.4,0.62,5.0,0.47,"Comedy,Thriller,Romance,Documentary"
USR-2310,51.9,61,88.1,0.53,3.0,0.16,"Sci-Fi,Action,Thriller"
USR-2311,86.5,27,105.9,0.78,3.0,0.09,"Sci-Fi,Action"
USR-2312,10.4,39,23.9,0.38,6.0,0.73,Romance
USR-2313,3.6,18,35.0,0.55,8.0,0.76,Romance
USR-2314,3.2,6,25.4,0.36,34.0,0.58,Comedy
USR-2315,85.7,50,100.3,0.67,4.0,0.08,"Sci-Fi,Action,Thriller"
USR-2316,15.9,20,31.5,0.39,4.0,0.76,"Romance,Animation"
USR-2317,57.7,45,100.5,0.72,2.0,0.2,"Sci-Fi,Thriller,Action"
USR-2318,8.0,32,22.5,0.37,8.0,0.77,"Animation,Romance"
USR-2319,4.2,17,21.9,0.55,9.0,0.6,"Comedy,Animation"
USR-2320,18.9,25,28.0,0.43,4.0,0.63,Animation
USR-2321,16.0,19,18.2,0.56,2.0,0.83,"Comedy,Romance"
USR-2322,49.9,45,39.0,0.53,5.0,0.28,"Action,Horror,Sci-Fi"
USR-2323,61.7,33,56.6,0.58,6.0,0.24,"Romance,Sci-Fi,Documentary,Thriller"
USR-2324,75.1,27,101.1,0.74,3.0,0.14,"Sci-Fi,Action,Thriller"
USR-2325,74.3,66,124.7,0.77,3.0,0.06,"Action,Thriller"
USR-2326,52.6,28,87.4,0.51,1.0,0.15,"Thriller,Sci-Fi"
USR-2327,54.7,48,62.9,0.57,3.0,0.13,"Sci-Fi,Action"
USR-2328,5.6,38,23.5,0.59,5.0,0.82,"Comedy,Animation"
USR-2329,32.1,43,65.6,0.47,6.0,0.3,"Comedy,Romance,Animation"
USR-2330,54.4,58,64.5,0.46,1.0,0.25,"Action,Comedy,Drama,Romance,Thriller"
USR-2331,9.7,25,21.1,0.52,3.0,0.65,"Romance,Comedy"
USR-2332,74.6,54,68.5,0.73,1.0,0.07,"Thriller,Action,Sci-Fi"
USR-2333,69.2,39,52.5,0.71,3.0,0.2,"Action,Sci-Fi"
USR-2334,13.7,27,45.2,0.59,1.0,0.68,Comedy
USR-2335,11.0,27,25.7,0.52,8.0,0.65,Romance
USR-2336,89.7,69,81.4,0.68,3.0,0.11,"Thriller,Sci-Fi"
USR-2337,72.1,56,30.6,0.67,1.0,0.09,"Thriller,Sci-Fi,Action"
USR-2338,52.2,47,79.5,0.78,3.0,0.11,"Action,Thriller"
USR-2339,0.9,4,15.9,0.51,24.0,0.66,"Documentary,Drama"
USR-2340,16.0,35,24.3,0.44,1.0,0.84,Animation
USR-2341,19.7,21,9.8,0.49,1.0,0.67,"Romance,Animation"
USR-2342,2.8,4,23.7,0.44,38.0,0.37,Documentary
USR-2343,15.5,15,19.4,0.32,5.0,0.79,"Animation,Romance"
USR-2344,15.1,28,9.8,0.47,9.0,0.63,"Comedy,Animation"
USR-2345,56.1,41,93.3,0.7,2.0,0.11,"Action,Sci-Fi,Thriller"
USR-2346,14.9,17,17.2,0.57,5.0,0.87,Romance
USR-2347,61.1,49,94.9,0.67,1.0,0.14,"Action,Sci-Fi,Thriller"
USR-2348,10.7,48,50.0,0.56,6.0,0.35,"Action,Thriller,Drama,Documentary,Comedy"
USR-2349,20.4,34,5.0,0.54,9.0,0.86,Comedy
USR-2350,22.6,19,32.4,0.32,8.0,0.69,"Animation,Romance"
USR-2351,27.6,41,57.7,0.49,5.0,0.41,"Comedy,Horror,Action"
USR-2352,70.4,47,72.9,0.6,1.0,0.12,"Sci-Fi,Thriller"
USR-2353,43.1,32,37.5,0.69,1.0,0.35,"Drama,Comedy,Thriller,Animation"
USR-2354,52.9,44,96.7,0.52,3.0,0.19,"Action,Thriller"
USR-2355,21.2,28,19.3,0.46,3.0,0.88,Romance
USR-2356,35.9,38,61.2,0.69,2.0,0.44,"Thriller,Documentary,Action,Sci-Fi"
USR-2357,1.9,3,27.0,0.64,22.0,0.31,Comedy
USR-2358,0.5,5,30.9,0.55,19.0,0.6,Drama
USR-2359,11.7,15,20.8,0.5,5.0,0.71,"Animation,Comedy"
USR-2360,20.2,19,18.4,0.43,1.0,0.76,Romance
USR-2361,17.3,20,22.1,0.59,5.0,0.88,Animation
USR-2362,41.2,44,43.7,0.52,3.0,0.45,"Drama,Documentary,Action"
USR-2363,62.4,55,87.3,0.77,1.0,0.09,"Thriller,Sci-Fi,Action"
USR-2364,74.4,55,86.2,0.79,2.0,0.15,"Action,Thriller,Sci-Fi"
USR-2365,78.2,38,74.0,0.6,1.0,0.16,"Thriller,Sci-Fi,Action"
USR-2366,49.2,59,75.8,0.77,4.0,0.16,"Thriller,Sci-Fi"
USR-2367,22.5,35,22.8,0.53,1.0,0.72,Animation
USR-2368,2.3,1,17.5,0.55,22.0,0.53,"Drama,Comedy"
USR-2369,46.7,44,53.2,0.43,4.0,0.25,"Action,Drama,Romance,Horror"
USR-2370,10.4,29,23.2,0.46,2.0,0.88,Comedy
USR-2371,37.9,49,48.2,0.59,1.0,0.36,"Documentary,Thriller,Animation,Horror,Romance"
USR-2372,92.2,54,96.6,0.7,1.0,0.11,"Sci-Fi,Thriller,Action"
USR-2373,24.3,37,14.0,0.39,6.0,0.71,Romance
USR-2374,83.0,46,85.3,0.63,4.0,0.19,"Sci-Fi,Action"
USR-2375,7.4,20,11.8,0.32,4.0,0.89,Animation
USR-2376,65.1,62,81.1,0.59,3.0,0.13,"Action,Thriller"
USR-2377,75.8,44,90.4,0.7,1.0,0.18,"Action,Sci-Fi,Thriller"
USR-2378,11.3,20,20.3,0.55,1.0,0.81,Comedy
USR-2379,5.3,2,5.0,0.27,32.0,0.64,Drama
USR-2380,6.6,3,29.4,0.46,25.0,0.53,Drama
USR-2381,14.8,32,26.4,0.36,7.0,0.7,"Comedy,Animation"
USR-2382,45.5,58,77.7,0.72,3.0,0.09,"Thriller,Action"
USR-2383,34.0,38,38.6,0.44,2.0,0.46,"Documentary,Action,Drama,Horror,Romance"
USR-2384,44.9,38,97.2,0.74,4.0,0.18,"Thriller,Action,Sci-Fi"
USR-2385,47.9,32,49.0,0.56,2.0,0.22,"Thriller,Drama,Horror"
USR-2386,83.7,28,87.7,0.66,2.0,0.12,"Thriller,Sci-Fi,Action"
USR-2387,34.0,30,53.9,0.55,3.0,0.26,"Animation,Thriller,Drama,Romance,Documentary"
USR-2388,0.7,6,8.2,0.5,44.0,0.43,"Documentary,Drama"
USR-2389,21.8,27,25.2,0.57,8.0,0.83,Comedy
USR-2390,21.6,22,15.6,0.43,3.0,0.69,Comedy
USR-2391,5.5,4,16.1,0.26,24.0,0.59,"Documentary,Comedy"
USR-2392,23.0,55,55.8,0.51,4.0,0.46,"Thriller,Documentary,Action"
USR-2393,65.6,32,82.0,0.57,1.0,0.18,"Sci-Fi,Action,Thriller"
USR-2394,4.9,2,5.0,0.25,26.0,0.42,"Comedy,Drama"
USR-2395,30.6,36,66.4,0.47,1.0,0.48,"Thriller,Sci-Fi,Drama,Romance,Documentary"
USR-2396,34.2,55,23.4,0.57,2.0,0.39,"Sci-Fi,Documentary,Comedy,Horror,Animation"
USR-2397,28.4,34,57.9,0.54,5.0,0.35,"Animation,Romance,Comedy"
USR-2398,43.5,42,54.3,0.44,2.0,0.28,"Thriller,Drama,Comedy"
USR-2399,6.8,6,13.3,0.66,44.0,0.59,Documentary
USR-2400,44.5,50,46.8,0.65,2.0,0.44,"Horror,Romance,Action,Thriller,Animation"
USR-2401,29.4,53,63.9,0.57,2.0,0.33,"Horror,Animation,Action"
USR-2402,6.7,18,25.1,0.47,2.0,0.86,"Comedy,Animation"
USR-2403,4.6,1,30.5,0.79,28.0,0.39,Documentary
USR-2404,22.6,21,33.7,0.51,9.0,0.72,"Comedy,Romance"
USR-2405,9.2,37,30.9,0.45,4.0,0.79,"Romance,Animation"
USR-2406,32.7,41,63.0,0.46,4.0,0.48,"Animation,Comedy,Horror"
USR-2407,7.0,3,30.3,0.7,28.0,0.32,Comedy
USR-2408,13.2,35,33.0,0.55,2.0,0.61,"Comedy,Romance"
USR-2409,61.4,67,91.6,0.72,4.0,0.13,"Sci-Fi,Action"
USR-2410,17.0,15,19.9,0.36,9.0,0.62,Animation
USR-2411,53.9,45,85.5,0.72,1.0,0.13,"Thriller,Action"
USR-2412,2.1,6,11.7,0.71,25.0,0.31,Documentary
USR-2413,52.4,37,70.8,0.54,4.0,0.32,"Drama,Animation,Action"
USR-2414,2.1,6,12.4,0.78,40.0,0.65,Drama
USR-2415,38.5,46,33.1,0.46,1.0,0.24,"Thriller,Documentary,Horror,Action,Animation"
USR-2416,6.8,21,19.5,0.44,4.0,0.78,Comedy
USR-2417,33.7,41,51.5,0.7,6.0,0.37,"Horror,Comedy,Drama,Action"
USR-2418,24.3,27,32.5,0.44,4.0,0.79,"Comedy,Romance"
USR-2419,27.3,38,24.9,0.43,5.0,0.6,Romance
USR-2420,0.9,7,5.0,0.24,16.0,0.4,Drama
USR-2421,14.1,37,33.3,0.32,5.0,0.86,"Animation,Comedy"
